Length X =  3868
Length Y1 =  1934
Length Y2 =  1934


Generating results for  3868  crossvalidations...




Total extracted features: 33576
Creating RF feature ranking.....
Number of important RF features: 1578
Total extracted features: 33576
SVC coef length: 33576
Creating SVC feature ranking.....
Number of important SVC features: 11152
SVM Accuracy Initial: 0.9663908996897621  MCC Initial: 0.9348962550742933
SVM Sensitivity Initial: 0.9327817993795243  Specificity Initial: 1.0
Working for  11151  SVM features......
SVM Accuracy: 0.9678756476683937  MCC: 0.9372748598441801
SVM Sensitivity: 0.9393782383419689  Specificity: 0.9963730569948187


.............BEST ACCURACY from SVM..............


Working for  11021  SVM features......
SVM Accuracy: 0.9681347150259068  MCC: 0.9378217499488558
SVM Sensitivity: 0.9393782383419689  Specificity: 0.9968911917098445


.............BEST ACCURACY from SVM..............


Working for  10891  SVM features......
SVM Accuracy: 0.9681347150259068  MCC: 0.9378217499488558
SVM Sensitivity: 0.9393782383419689  Specificity: 0.9968911917098445
Working for  10761  SVM features......
SVM Accuracy: 0.9678756476683937  MCC: 0.9372748598441801
SVM Sensitivity: 0.9393782383419689  Specificity: 0.9963730569948187
Working for  10631  SVM features......
SVM Accuracy: 0.9681347150259068  MCC: 0.9378217499488558
SVM Sensitivity: 0.9393782383419689  Specificity: 0.9968911917098445
Working for  10501  SVM features......
SVM Accuracy: 0.9676165803108808  MCC: 0.9367837624004896
SVM Sensitivity: 0.938860103626943  Specificity: 0.9963730569948187
Working for  10371  SVM features......
SVM Accuracy: 0.9678756476683937  MCC: 0.9373309074855656
SVM Sensitivity: 0.938860103626943  Specificity: 0.9968911917098445
Working for  10241  SVM features......
SVM Accuracy: 0.9676165803108808  MCC: 0.9367837624004896
SVM Sensitivity: 0.938860103626943  Specificity: 0.9963730569948187
Working for  10111  SVM features......
SVM Accuracy: 0.9678756476683937  MCC: 0.9372748598441801
SVM Sensitivity: 0.9393782383419689  Specificity: 0.9963730569948187
Working for  9981  SVM features......
SVM Accuracy: 0.9681347150259068  MCC: 0.9377661814484778
SVM Sensitivity: 0.9398963730569948  Specificity: 0.9963730569948187
Working for  9851  SVM features......
SVM Accuracy: 0.9676165803108808  MCC: 0.9367282554037091
SVM Sensitivity: 0.9393782383419689  Specificity: 0.9958549222797928
Working for  9721  SVM features......
SVM Accuracy: 0.9676165803108808  MCC: 0.936673767223291
SVM Sensitivity: 0.9398963730569948  Specificity: 0.9953367875647668
Working for  9591  SVM features......
SVM Accuracy: 0.9670984455958549  MCC: 0.9356903293589405
SVM Sensitivity: 0.938860103626943  Specificity: 0.9953367875647668
Working for  9461  SVM features......
SVM Accuracy: 0.966580310880829  MCC: 0.9345446844809377
SVM Sensitivity: 0.9393782383419689  Specificity: 0.9937823834196892
Working for  9331  SVM features......
SVM Accuracy: 0.966321243523316  MCC: 0.9340523152582697
SVM Sensitivity: 0.938860103626943  Specificity: 0.9937823834196892
Working for  9201  SVM features......
SVM Accuracy: 0.966580310880829  MCC: 0.9345446844809377
SVM Sensitivity: 0.9393782383419689  Specificity: 0.9937823834196892
Working for  9071  SVM features......
SVM Accuracy: 0.9673575129533679  MCC: 0.9360750554627911
