Length X =  3868
Length Y1 =  1934
Length Y2 =  1934


Generating results for  3868  crossvalidations...




Total extracted features: 33576
Creating RF feature ranking.....
Number of important RF features: 1577
Total extracted features: 33576
SVC coef length: 33576
Creating SVC feature ranking.....
Number of important SVC features: 11152
SVM Accuracy Initial: 0.9663908996897621  MCC Initial: 0.9348962550742933
SVM Sensitivity Initial: 0.9327817993795243  Specificity Initial: 1.0
Working for  11151  SVM features......
SVM Accuracy: 0.9686528497409327  MCC: 0.9386975853613421
SVM Sensitivity: 0.9414810978767478  Specificity: 0.9958527734577501


.............BEST ACCURACY from SVM..............


Working for  11021  SVM features......
SVM Accuracy: 0.9689119170984456  MCC: 0.9391900332402293
SVM Sensitivity: 0.9419989642672191  Specificity: 0.9958527734577501


.............BEST ACCURACY from SVM..............


Working for  10891  SVM features......
SVM Accuracy: 0.9686528497409327  MCC: 0.9386449875741472
SVM Sensitivity: 0.9419989642672191  Specificity: 0.995334370139969
Working for  10761  SVM features......
SVM Accuracy: 0.9686528497409327  MCC: 0.9386975853613421
SVM Sensitivity: 0.9414810978767478  Specificity: 0.9958527734577501
Working for  10631  SVM features......
SVM Accuracy: 0.9691709844559585  MCC: 0.9397353627239959
SVM Sensitivity: 0.9419989642672191  Specificity: 0.9963711767755313


.............BEST ACCURACY from SVM..............


Working for  10501  SVM features......
SVM Accuracy: 0.9686528497409327  MCC: 0.938751203001825
SVM Sensitivity: 0.9409632314862766  Specificity: 0.9963711767755313
Working for  10371  SVM features......
SVM Accuracy: 0.9678756476683937  MCC: 0.9371675568233241
SVM Sensitivity: 0.9404453650958052  Specificity: 0.995334370139969
Working for  10241  SVM features......
SVM Accuracy: 0.9673575129533679  MCC: 0.9361297502603851
SVM Sensitivity: 0.939927498705334  Specificity: 0.9948159668221876
Working for  10111  SVM features......
SVM Accuracy: 0.9676165803108808  MCC: 0.9366755309115188
SVM Sensitivity: 0.939927498705334  Specificity: 0.995334370139969
Working for  9981  SVM features......
SVM Accuracy: 0.9681347150259068  MCC: 0.9377133669566718
SVM Sensitivity: 0.9404453650958052  Specificity: 0.9958527734577501
Working for  9851  SVM features......
SVM Accuracy: 0.9676165803108808  MCC: 0.9366755309115188
SVM Sensitivity: 0.939927498705334  Specificity: 0.995334370139969
Working for  9721  SVM features......
SVM Accuracy: 0.9676165803108808  MCC: 0.9366220306360341
SVM Sensitivity: 0.9404453650958052  Specificity: 0.9948159668221876
Working for  9591  SVM features......
SVM Accuracy: 0.9673575129533679  MCC: 0.9361837299053675
SVM Sensitivity: 0.9394096323148627  Specificity: 0.995334370139969
Working for  9461  SVM features......
SVM Accuracy: 0.9673575129533679  MCC: 0.9361297502603851
SVM Sensitivity: 0.939927498705334  Specificity: 0.9948159668221876
Working for  9331  SVM features......
SVM Accuracy: 0.9678756476683937  MCC: 0.9372215957147355
SVM Sensitivity: 0.939927498705334  Specificity: 0.9958527734577501
Working for  9201  SVM features......
SVM Accuracy: 0.9681347150259068  MCC: 0.9377133669566718
SVM Sensitivity: 0.9404453650958052  Specificity: 0.9958527734577501
Working for  9071  SVM features......
SVM Accuracy: 0.9683937823834197  MCC: 0.9382053633862631
